"donor","localization","Hemato","Bone","ensg"
0.113109481637254,2.05755550197718e-13,0.163723041147044,0.316802922641294,"ENSG00000225972.1"
0.203164187271336,0,0.189648733622637,0.0899403087482353,"ENSG00000225630.1"
0.101051983951435,0.572331549385653,0.278907947470786,0.0398056676561709,"ENSG00000237973.1"
0,0,0.15184240690458,0.0588223544219719,"ENSG00000229344.1"
0.208552321063788,4.12150388347013e-11,0.0523121817108202,0.0799603122114139,"ENSG00000248527.1"
0,0,0.0226982446875517,0.356198230940874,"ENSG00000198744.5"
0.0877137785994954,0,0.00864873021904225,0.182104646973852,"ENSG00000228327.3"
0,0,0.00817738315942557,0.162556616524025,"ENSG00000237491.10"
0.190897516643356,0,0.0383141322454981,0.0480164488676225,"ENSG00000177757.2"
0,0,0.215338628943344,0.583427877080068,"ENSG00000228794.9"
0,0,0.0372321292874642,0.0105199847709903,"ENSG00000225880.5"
0,0,0.00661548660142666,0.547902883993751,"ENSG00000223764.2"
0,0,0.0023336504525076,0.19822357564249,"ENSG00000187634.12"
0.0124047825503136,0,0.0710674240964372,0.00614983135381929,"ENSG00000188976.11"
0,0,0.132104121294489,0.0054775394377272,"ENSG00000187961.14"
0.213590190330737,0,0.430314697137014,0.160778584629186,"ENSG00000187583.11"
0,0,0.0493672438311861,0.114733745342548,"ENSG00000187642.9"
0,0,0.00159673298752327,0.0656663984697237,"ENSG00000272512.1"
0,0,0.000366322473482212,0.0526050608227409,"ENSG00000188290.10"
0,0,0.0714278771330425,0.00705427160050545,"ENSG00000187608.10"
0,0,0.0449329794402616,0.316887569378818,"ENSG00000188157.15"
0.0991072788528466,0,0.361651991007972,0.00047015184014406,"ENSG00000217801.10"
0.26918902321669,8.33315297737966e-13,0.385063733198036,0.138233684216567,"ENSG00000131591.17"
0,0,0.00383815015963595,0.00905155071983785,"ENSG00000285812.1"
0.021830297744002,0,0.788537496538856,0.0784504645950309,"ENSG00000162571.13"
0.0899557531998804,4.34019609841325e-14,0.599846828647823,0.0956476895974765,"ENSG00000186891.14"
0,0,0.349627290093667,0.000470681213777547,"ENSG00000186827.11"
0,0,0.201285920786151,0.0256797084451365,"ENSG00000078808.17"
0,0,0.0408954045627664,0.137706836081983,"ENSG00000176022.7"
0.136635067331276,0,0.400887276651803,0.0766767887257575,"ENSG00000184163.3"
0,0,0.411760037975526,0.20219129835505,"ENSG00000260179.1"
0.0816312195766543,0,0.382141699794052,0.194550968918719,"ENSG00000160087.20"
0,0,0.00814245615620876,0.124081118436722,"ENSG00000230415.1"
0,0,0.0203870957824343,0.003090321761549,"ENSG00000162572.21"
0,0,0.106183652830113,0.0124810513022937,"ENSG00000131584.19"
0.200230252377493,0,0.678065080641274,0.00072060601025956,"ENSG00000169972.12"
0,0,3.08872937022615e-05,0.0607915211257839,"ENSG00000127054.20"
0,0,0.161698775681394,0.159030404743231,"ENSG00000240731.1"
0,0,0.000656698273119284,0.180129611423774,"ENSG00000224051.7"
0.35617085865342,0,0.367935337486143,0.179247723939322,"ENSG00000169962.5"
0,0,0.174786554116856,0.00167925443999164,"ENSG00000107404.20"
0,0.445993063991704,0.00280577823679862,0.54327797369278,"ENSG00000162576.16"
0.0281430743958044,0.582256706967746,0.140667831267599,0.241446577104705,"ENSG00000175756.13"
0,0,0.0290787729051258,0.233757065925011,"ENSG00000221978.12"
0,0,0.360213989527331,0.308835690892614,"ENSG00000224870.7"
0.33314505231342,0,0.00381180586294326,0.00334786268664427,"ENSG00000242485.6"
0,0,0.0257085502090124,0.218575597578826,"ENSG00000272455.1"
0,0,0.306473343820259,0.115845321390593,"ENSG00000235098.8"
