"ensg","F_prim","FDR_prim","F_diff","FDR_diff","maxlfc_prim","maxlfc_diff","EPI_p","META_p","SCAT_p","EPI_d","META_d","SCAT_d"
"ENSG00000225972.1",3.74252056594216,0.163235393506784,0.94056336376744,0.968097019902967,2.57023357655167,1.28127038738844,2.77836120276222,1.40393542077744,1.87029816147773,1.1448051226787,0.459373678643665,0.844322400348348
"ENSG00000225630.1",7.35284656441224,0.045151566624268,1.40454439932323,0.968097019902967,2.21777924978231,0.735742682499748,9.36294173200212,7.6158394467412,8.94236668099983,6.72373225302748,6.72695475020219,7.4509981932155
"ENSG00000237973.1",6.97199260084161,0.0508455462041883,1.03862955174883,0.968097019902967,2.07300240032109,0.746661104963998,6.76281787016997,6.23158558215793,5.16774771289399,4.49097298611233,3.88426807922654,4.34636642452956
"ENSG00000229344.1",1.21068762454111,0.521621300226246,0.075293486021864,0.987238893292398,1.53905629367487,0.283310665608895,2.44944064369849,2.17541261599969,1.55811485677362,1.00026552572458,0.778025701014544,0.75912990203743
"ENSG00000248527.1",2.85012402022014,0.237714814424757,1.00535134894738,0.968097019902967,1.15303361633025,0.872990867376334,11.8299167584115,10.7222146344143,11.1121784359879,9.45250174564389,8.62018913189532,9.20760291422896
"ENSG00000198744.5",4.38347908219609,0.126080614426132,0.577181303381465,0.968097019902967,2.65098315012243,0.911275995400137,3.45669169074962,1.8964886777712,1.85074348268663,1.07002699158745,0.776718955437214,1.1818507740001
"ENSG00000228327.3",2.71189859946065,0.253406118447435,0.398786293452739,0.968097019902967,2.55399239105013,0.704499643450222,0.273561880707906,1.08463693102704,1.11507622759864,1.49698624578641,0.928657821908416,1.02073385577147
"ENSG00000237491.10",3.12205728082534,0.211352530810731,1.76185310227211,0.968097019902967,2.91241877398637,0.752707915475736,0.19754161415886,0.514227937836548,1.05056231467776,1.45393370922523,2.33653024419243,2.07195619603956
"ENSG00000177757.2",0.809398445372453,0.643085026812287,1.41968492938585,0.968097019902967,1.21263874173986,0.721981774511489,0.128256728571033,0.308318702697932,0.418794637642976,1.09671106109022,1.25584114321772,1.73407171561402
"ENSG00000228794.9",6.22952576566946,0.0643333424736924,0.662400723788068,0.968097019902967,1.89146000611996,0.533397367594327,2.86482872955336,4.97443413175029,4.50491944472093,2.88895820662432,4.01492839489104,3.92934869276264
"ENSG00000225880.5",0.388598521128154,0.806684588877901,0.419861062964422,0.968097019902967,0.871127998968019,0.308017402957012,0.80057042135338,1.49067175573964,1.08575386152079,1.06780983646999,1.28611856528914,1.51081199900204
"ENSG00000223764.2",2.08492841433289,0.337597382995919,3.81093918950848,0.968097019902967,1.95034435835886,1.45207490002181,1.20017190255654,0.401022426770624,0.311609463194947,0.715721250051024,0.640550326494812,1.31049203449583
"ENSG00000187634.12",1.9916515272786,0.353299158188937,1.12439002652997,0.968097019902967,2.50758773273081,1.19578902445104,2.19803641310833,1.3594128913424,1.17486227405516,1.13234181155075,0.719931591362365,0.837558515566653
"ENSG00000188976.11",0.594419221790122,0.719354314977363,1.63352289045626,0.968097019902967,0.426183319986207,0.55052892990674,5.02814971758191,5.48489925983202,5.04234752910416,6.01261689603265,5.87068177309522,5.62947039289014
"ENSG00000187961.14",1.77836660173852,0.391591473384994,0.584066770562592,0.968097019902967,1.59018324011706,0.305554089979597,1.19144365255688,1.96317255927611,1.02940544631198,2.05988417898459,2.42051445057302,2.2147624138327
"ENSG00000187583.11",12.08903968908,0.0123798446322986,2.81968926118884,0.968097019902967,3.8123753224741,1.95804658209865,2.00284004526135,2.06714436331379,0.263548991453287,1.62184115488924,0.873026286616834,0.571212897758152
"ENSG00000187642.9",0.345708193640146,0.825329785261045,0.753915230376546,0.968097019902967,1.1535579570337,1.47579819961106,1.30817092086155,1.51612411984208,0.78036502809407,0.257073933175816,0.0468396976589316,0.105278323842687
"ENSG00000272512.1",0.489578017754686,0.762774954796798,2.94005199958724,0.968097019902967,1.58312827298099,2.5487229933574,1.76520442896004,1.96616297681828,1.48890472390427,0.0149191128135286,0.276567328581017,0
"ENSG00000188290.10",0.220253298129439,0.886381377205521,2.05066221162366,0.968097019902967,0.558769333935411,2.28719463883717,3.06194339910253,3.17032602732303,3.01364195747339,2.2331086347738,2.11491628096031,0.795964429246595
"ENSG00000187608.10",0.660408195500154,0.695722014575985,1.36891290587024,0.968097019902967,0.992309810657199,0.640947861114484,2.98016838544995,3.2538305884271,2.64777057619813,3.44504572448618,3.34319132258033,3.61564005739093
"ENSG00000188157.15",3.5765596819338,0.174804065070722,2.27878878334777,0.968097019902967,1.6490606477189,1.01392499160898,5.0051339203607,4.94262077281838,3.89827455436475,6.19329642090726,5.93958996515311,5.31862478758722
"ENSG00000217801.10",3.14113305662386,0.209629945204806,0.025816668942696,0.995078822717241,2.51238063556053,0.311952450146487,0.682821241741512,1.36964543767111,0.18073385723957,0,0.0649526151347017,0.07331780154731
"ENSG00000131591.17",2.74778432622433,0.249220159146667,0.347178591238247,0.968097019902967,1.70423679107674,0.336077745448696,1.74276256174453,3.32097796110859,1.75685260930751,2.27305165340295,3.04807607489144,2.74739084302891
"ENSG00000285812.1",0.421870033812432,0.791411655219686,0.179905701312148,0.974801309459732,0.748220421998527,0.370713656896636,0.276161019545907,0.494294122528009,0.490435719023415,1.1873585958275,1.03725222558832,1.00990414654223
"ENSG00000162571.13",6.27240858519952,0.0634139157147337,0.914192393771237,0.968097019902967,3.03993542474253,1.16702050962636,0.804274894308496,1.85877726356489,0.216227975327,0,0,0
