"gene","baseMean","maxabsLFC","minFDR","nB"
"ENSG00000227232",1.43636820058884,0,0.963329781040657,0
"ENSG00000278267",3.29452591369136,0,0.976275710316755,0
"ENSG00000268903",2.5885209925298,0,0.964440255185751,0
"ENSG00000269981",1.98674659094078,0,0.963329781040657,0
"ENSG00000241860",4.73448287057375,0,1,0
"ENSG00000279457",5.53373198752199,0,0.963329781040657,0
"ENSG00000228463",2.55796383802812,0,0.999401712974916,0
"ENSG00000237094",3.6070520543197,0,0.963329781040657,0
"ENSG00000230021",3.26918835461574,0,0.963329781040657,0
"ENSG00000225972",24.6238976434979,0,0.963329781040657,0
"ENSG00000225630",2306.0831802116,0,0.963329781040657,0
"ENSG00000237973",379.089166177502,0,0.963329781040657,0
"ENSG00000229344",21.9604300598415,0,0.972190066970138,0
"ENSG00000240409",0.873011372225868,0,0.979037685904099,0
"ENSG00000248527",16335.6545197925,0,0.963329781040657,0
"ENSG00000198744",25.9965069464831,0,0.99205217751962,0
"ENSG00000229376",1.50416727397738,0,0.964183380235635,0
"ENSG00000228327",35.5245667503418,0,0.963329781040657,0
"ENSG00000237491",50.8126235400889,0,0.963993070716747,0
"ENSG00000230092",6.53714671098046,0,0.963329781040657,0
"ENSG00000177757",28.1244391748655,0,0.963329781040657,0
"ENSG00000228794",214.609202302735,0,0.963329781040657,0
"ENSG00000225880",24.9501208579927,0,0.991718022541782,0
"ENSG00000230699",8.66116588760331,0,0.976275710316755,0
"ENSG00000223764",15.5470099217273,0,0.477685074716169,0
"ENSG00000187634",18.7546764397871,0,0.963993070716747,0
"ENSG00000188976",1024.20667643153,0,0.963329781040657,0
"ENSG00000187961",63.9184725511066,0,0.966760548473557,0
"ENSG00000187583",36.3948904545191,0,0.485889828238411,0
"ENSG00000187642",2.65052421857797,0,0.985012580746274,0
"ENSG00000272512",1.24061288732952,0,0.968474083859003,0
"ENSG00000188290",153.069283060504,0,0.963329781040657,0
"ENSG00000187608",192.891061904609,0,0.985396861453352,0
"ENSG00000224969",4.22526337218915,0.278949126064498,4.74080897550041e-07,2
"ENSG00000188157",1356.74140020269,0,0.942350877914018,0
"ENSG00000131591",99.6365712835474,0,0.983050946034946,0
