"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000123080",398.188773791387,0.632389001736688,0.217441103006348,61.5936192451683,4.21808688020446e-14,9.324924666068e-10
"ENSG00000162631",142.676335197068,2.09292177615838,0.493555496622414,27.5615887712041,1.03532581301388e-06,0.00328282610243706
"ENSG00000163545",111.632279840199,-1.06667959452482,0.371122049619437,21.8166943625825,1.83048010275769e-05,0.0311280181782033
"ENSG00000138678",16.3913213753391,0.968617698250774,0.730899160053741,23.4952081399307,7.90824975986099e-06,0.0145689731201039
"ENSG00000151790",95.1438032036934,-1.76995749910841,0.653649095428489,20.6638073312961,3.25770121972663e-05,0.045232518109523
"ENSG00000038295",24.2806824802038,-0.119530491766623,0.609269087529134,27.2961019693953,1.18229749279327e-06,0.00328282610243706
"ENSG00000082074",52.6832712331853,3.13512303271396,1.01872366782585,27.0509512261336,1.33647419016301e-06,0.00328282610243706
"ENSG00000250802",181.607738522814,1.21856218762393,0.392392492209847,25.4336670725449,3.00019420535688e-06,0.00663252932978245
"ENSG00000077943",572.630491250468,-2.10406448727989,0.65606751852515,44.8250702007137,1.84654408437157e-10,2.04107750366011e-06
"ENSG00000151025",34.9455289855428,2.67449354300852,0.833573161387168,27.7617193447551,9.36740376718385e-07,0.00328282610243706
"ENSG00000182732",66.7385605680454,-2.36104925724513,1.08325308627001,21.0496478485175,2.68613012000326e-05,0.0424159132592229
"ENSG00000185567",3694.233160519,2.544649307268,0.564568027176585,27.1279964169677,1.28596878101213e-06,0.00328282610243706
"ENSG00000120093",46.5602730281542,0.759998814139999,0.639159513964394,20.6539997616023,3.2737155188509e-05,0.045232518109523
"ENSG00000182742",16.8663755487794,0.282218082562913,0.600660816963919,31.0511370941001,1.8085530467926e-07,0.0009995420551361
"ENSG00000260027",19.3118446334848,0.48426756669706,0.872388528468573,23.5052374398412,7.86869192280522e-06,0.0145689731201039
"ENSG00000183421",20.7469384294211,-2.28600976914369,0.699672985863692,32.1532615798934,1.04233653455658e-07,0.000768097792314744
