"ensg","r_cd45","F_prim","FDR_prim","P_prim","lfc_EM","lfc_ES","lfc_MS","EPI_p","META_p","SCAT_p"
"ENSG00000225972.1",-0.345250376279098,3.74252056594216,0.163235393506784,0.0472250541108166,2.57023357655167,1.40222914063778,1.16800443591389,2.77836120276222,1.40393542077744,1.87029816147773
"ENSG00000225630.1",-0.475604754810468,7.35284656441224,0.045151566624268,0.00569090138790406,2.21777924978231,0.962927181303621,1.25485206847869,9.36294173200212,7.6158394467412,8.94236668099983
"ENSG00000237973.1",0.178305623140673,6.97199260084161,0.0508455462041883,0.00693571784859068,1.15802081830741,2.07300240032109,-0.914981582013683,6.76281787016997,6.23158558215793,5.16774771289399
"ENSG00000229344.1",0.235169508542959,1.21068762454111,0.521621300226246,0.324703760218444,1.09816437521155,1.53905629367487,-0.440891918463321,2.44944064369849,2.17541261599969,1.55811485677362
"ENSG00000248527.1",-0.326307487193892,2.85012402022014,0.237714814424757,0.0883333234092695,1.15303361633025,1.1150019829375,0.0380316333927481,11.8299167584115,10.7222146344143,11.1121784359879
"ENSG00000198744.5",-0.0837754528754289,4.38347908219609,0.126080614426132,0.0310160949552254,2.65098315012243,2.30140675032076,0.349576399801664,3.45669169074962,1.8964886777712,1.85074348268663
"ENSG00000228327.3",0.123149278809398,2.71189859946065,0.253406118447435,0.0977884653400944,-1.80750533704829,-2.55399239105013,0.746487054001835,0.273561880707906,1.08463693102704,1.11507622759864
"ENSG00000237491.10",-0.116349848551374,3.12205728082534,0.211352530810731,0.072593824674261,-1.23055936740238,-2.91241877398637,1.68185940658399,0.19754161415886,0.514227937836548,1.05056231467776
"ENSG00000177757.2",-0.0925239791484481,0.809398445372453,0.643085026812287,0.463099390353789,-0.207806321870072,-1.21263874173986,1.00483241986979,0.128256728571033,0.308318702697932,0.418794637642976
"ENSG00000228794.9",0.220622142462173,6.22952576566946,0.0643333424736924,0.0103552547966174,-1.89146000611996,-1.56595654655076,-0.325503459569202,2.86482872955336,4.97443413175029,4.50491944472093
"ENSG00000225880.5",0.344209391771413,0.388598521128154,0.806684588877901,0.684437531686718,-0.871127998968019,-0.595453917103627,-0.275674081864391,0.80057042135338,1.49067175573964,1.08575386152079
"ENSG00000223764.2",0.209541487301153,2.08492841433289,0.337597382995919,0.157843852886333,1.7587585462459,1.95034435835886,-0.191585812112956,1.20017190255654,0.401022426770624,0.311609463194947
"ENSG00000187634.12",-0.142537718573623,1.9916515272786,0.353299158188937,0.169939029884295,1.79355516982919,2.50758773273081,-0.714032562901625,2.19803641310833,1.3594128913424,1.17486227405516
"ENSG00000188976.11",0.501275856046569,0.594419221790122,0.719354314977363,0.564001305689918,0.160903530615528,0.426183319986207,-0.265279789370679,5.02814971758191,5.48489925983202,5.04234752910416
"ENSG00000187961.14",0.491794412235476,1.77836660173852,0.391591473384994,0.20173603478674,-1.18339414260186,0.406789097515193,-1.59018324011706,1.19144365255688,1.96317255927611,1.02940544631198
"ENSG00000187583.11",0.628677280565523,12.08903968908,0.0123798446322986,0.000688283097177566,0.102362892994538,3.8123753224741,-3.71001242947957,2.00284004526135,2.06714436331379,0.263548991453287
"ENSG00000187642.9",0.24735198498288,0.345708193640146,0.825329785261045,0.713045588992838,-0.188353788925484,0.965204168108213,-1.1535579570337,1.30817092086155,1.51612411984208,0.78036502809407
"ENSG00000272512.1",-0.0500745128029893,0.489578017754686,0.762774954796798,0.622060778659074,0.278302151788586,1.58312827298099,-1.3048261211924,1.76520442896004,1.96616297681828,1.48890472390427
"ENSG00000188290.10",-0.0834966188591078,0.220253298129439,0.886381377205521,0.804787012844969,0.326916524144492,0.558769333935411,-0.231852809790919,3.06194339910253,3.17032602732303,3.01364195747339
"ENSG00000187608.10",0.124757493308665,0.660408195500154,0.695722014575985,0.530603712506539,0.277245565329382,0.992309810657199,-0.715064245327818,2.98016838544995,3.2538305884271,2.64777057619813
"ENSG00000188157.15",0.384542170936472,3.5765596819338,0.174804065070722,0.0528579919427174,0.831381830174511,1.6490606477189,-0.817678817544385,5.0051339203607,4.94262077281838,3.89827455436475
