ensg	r_cd45	F_prim	FDR_prim	lfc_EM	lfc_ES	lfc_MS	EPI	META	SCAT	range	top_site
ENSG00000041982.16	0.697240780637291	86.4872213679767	4.72959174480552e-05	1.6189426375724	7.50525715671154	-5.88631451913913	7.4292680933915	6.28467783311039	1.54607943513194	5.88318865825956	EPI
ENSG00000156076.10	0.36859466552691	51.7102560392759	0.000509303488827892	3.75897556402239	9.20073784788027	-5.44176228385788	5.17555134875445	2.33933768598341	0	5.17555134875445	EPI
ENSG00000105880.7	0.374722014700849	51.5497645581633	0.000509303488827892	4.37842019882292	9.3637107149981	-4.98529051617518	5.68586513550152	2.30471154280745	0.0915613508958169	5.5943037846057	EPI
ENSG00000119042.17	0.33922764456709	48.4446972100198	0.000509303488827892	2.66044291696564	4.23893837931899	-1.57849546235335	6.7243589100943	4.40408280244951	3.15426243216058	3.57009647793372	EPI
ENSG00000211892.4	0.631828308190343	47.871809224221	0.000509303488827892	-0.0037802670407534	8.07279403809401	-8.07657430513476	5.57968378689761	6.0657269021535	0.456305125626566	5.60942177652693	META
ENSG00000140937.14	0.687797572561575	47.1643221405609	0.000509303488827892	2.28047775332918	6.57565599946729	-4.29517824613811	7.2436060559502	5.49599733877572	1.98510841714506	5.25849763880514	EPI
ENSG00000118785.14	0.419708489193173	46.9461620814468	0.000509303488827892	3.46136244096044	10.2698387118886	-6.80847627092819	8.02741209994871	4.68344596863482	0.847257571664342	7.18015452828437	EPI
ENSG00000226482.1	-0.661545101130704	43.5604750348765	0.0006704972700139	2.47696575135554	-4.23469285749991	6.71165860885545	1.08117406614226	0.407839659446391	4.2125242508695	3.80468459142311	SCAT
ENSG00000158560.14	0.678301445430094	43.4370372490761	0.0006704972700139	1.14391632410337	5.94091026999711	-4.79699394589374	4.1565828830096	3.45237714867009	0.630484899617803	3.5260979833918	EPI
ENSG00000029559.7	0.263579354136969	42.1491689153026	0.000738686777477307	3.87425397914318	10.2653373709559	-6.39108339181276	7.97406944049812	4.25861833749712	1.13689109221921	6.8371783482789	EPI
ENSG00000137745.12	0.380411965936308	40.9370684364118	0.000816221621929685	4.48784191157271	9.39048477398992	-4.90264286241721	5.26855472980536	2.07069667605527	0	5.26855472980536	EPI
ENSG00000124813.23	0.674804293270382	40.1516631256449	0.000825127206895058	1.4880521465959	6.13538307944379	-4.64733093284789	5.63715824361281	4.52533955358005	1.18671926175759	4.45043898185522	EPI
ENSG00000165966.16	0.611623095945509	39.8574827180292	0.000825127206895058	1.97607186832992	6.07926474538586	-4.10319287705594	5.63128985795943	4.06726735366815	1.32925469619824	4.30203516176119	EPI
ENSG00000127863.15	0.57281700507351	38.4908989582306	0.000935568717246739	2.28668835469167	6.58488930308789	-4.29820094839622	4.42526158965773	2.72096942165473	0.466205846130481	3.95905574352725	EPI
ENSG00000138061.12	0.514821075936611	38.2718337542089	0.000935568717246739	1.58804457857231	4.78166745367094	-3.19362287509863	7.9297624307186	6.69849647602082	3.92372215228666	4.00604027843194	EPI
ENSG00000162551.14	0.568128083227274	36.5453945548404	0.00118782432114064	1.76238764908561	5.01195906537023	-3.24957141628462	6.57982805566593	5.30825295790036	2.49010419336491	4.08972386230102	EPI
ENSG00000154654.15	0.684410607041115	35.4142400795555	0.001372509670092	1.12688985584052	5.93015375194833	-4.80326389610781	5.31531902956776	4.55011030363867	1.28345042998806	4.0318685995797	EPI
ENSG00000131668.14	0.120402779228809	34.8618101231014	0.00142501364461332	6.04514190218037	6.72073068861939	-0.675588786439013	3.08021216450487	0.141544737971337	0	3.08021216450487	EPI
ENSG00000180875.5	0.356882647286353	34.432805802487	0.00142501364461332	4.38282738396657	7.45999059715814	-3.07716321319157	3.79829700790531	1.21725407771706	0.0370928343350731	3.76120417357024	EPI
ENSG00000101049.17	-0.658200710781986	34.3388018515647	0.00142501364461332	-0.368796172656472	-6.40945622241284	6.04066004975637	0.899213807771211	1.17048539324549	5.78746569212296	4.88825188435174	SCAT
ENSG00000169436.17	0.164997180004956	33.290963166582	0.00159021945684545	4.8617611731217	7.66332143267726	-2.80156025955557	4.13620750500683	1.15594298084809	0.0915613508958169	4.04464615411101	EPI
ENSG00000157404.15	0.531175242238199	33.2344558952229	0.00159021945684545	2.27052100444574	6.7931100047168	-4.52258900027105	4.64036274248914	2.90158702489001	0.532224466553617	4.10813827593553	EPI
ENSG00000136457.10	0.116239119997871	33.0351130152875	0.00159021945684545	5.29400943305681	6.47767532677256	-1.18366589371575	6.11089927285041	2.04161295759479	1.44727624694915	4.66362302590126	EPI
ENSG00000170558.9	0.261247268629259	32.3175835198565	0.00175419998903069	3.99593890440538	7.17782855909643	-3.18188965469106	3.6828583183436	1.10914468607551	0.0864325335451182	3.59642578479848	EPI
ENSG00000197467.14	0.288145886420349	31.9780144066438	0.00180156007324419	3.89006749494264	6.8164033725651	-2.92633587762247	4.71230313921582	2.02436979018462	0.486861238607717	4.2254419006081	EPI
ENSG00000127083.7	0.16829336864985	31.4052969023321	0.0019435647314151	4.77705208504853	5.79130935067673	-1.0142572656282	4.72043042264048	1.57818638470867	0.950222698363885	3.7702077242766	EPI
ENSG00000163909.8	0.523336839220402	30.8869901156243	0.00203870280889103	2.49910686639193	5.64645174754285	-3.14734488115092	4.74750001891	2.90295709066562	1.06638364964776	3.68111636926224	EPI
ENSG00000163687.14	0.649286255094705	30.8076602497034	0.00203870280889103	0.548859360031318	6.04720368486922	-5.4983443248379	5.20471379672687	5.13568100944632	1.34810920637915	3.85660459034772	EPI
ENSG00000172061.8	0.184164989665199	30.3497028265446	0.0021638923371982	5.95380423526525	7.96813295040971	-2.01432871514446	4.73730681037449	1.08713344853693	0.160755905154396	4.5765509052201	EPI
ENSG00000168743.12	0.176369944300217	29.4405509867045	0.00253294195584678	4.99666751733022	7.59415204014943	-2.59748452281922	3.74827567641255	1.00885937248048	0	3.74827567641255	EPI
ENSG00000152592.14	0.371771457696291	29.0624220478582	0.00253671951006024	3.43678162395683	6.47018509211619	-3.03340346815936	2.78818526258162	1.04438007171652	0	2.78818526258162	EPI
ENSG00000198542.14	0.449799345748739	28.9983969886906	0.00253671951006024	1.89307712420415	6.48496084327542	-4.59188371907128	5.75066113997185	3.91184681631534	1.16872851763462	4.58193262233723	EPI
ENSG00000108821.13	0.19321397726189	28.9889334156188	0.00253671951006024	3.78255087287353	5.60733153018594	-1.82478065731241	12.3300294463857	8.77070351881583	7.15409184262008	5.17593760376565	EPI
ENSG00000188487.11	0.323858578759359	28.198458807781	0.00284434328561772	3.73800011820963	7.79191595711979	-4.05391583891017	3.98294313579924	1.51963887279967	0	3.98294313579924	EPI
ENSG00000144868.13	0.665640108423146	28.1489959062721	0.00284434328561772	0.940703604936427	6.49226334572136	-5.55155974078493	5.27648916779043	4.58441335030984	0.998563403525006	4.27792576426543	EPI
ENSG00000106031.9	0.26262200145039	27.9077786844539	0.00284434328561772	4.06046436674319	5.88661479109721	-1.82615042435402	3.4885947144742	1.19691875144002	0.332662772485296	3.15593194198891	EPI
ENSG00000272701.3	-0.670593272971785	27.8286345234943	0.00284434328561772	-0.842402823324018	-5.60101544671084	4.75861262338682	0.0534346202656526	0.346542767234125	2.70167314426678	2.64823852400113	SCAT
ENSG00000211964.3	0.623294178072258	27.8227488050474	0.00284434328561772	0.691331365149879	6.56833815988226	-5.87700679473238	2.79156840220436	2.47060035368127	0	2.79156840220436	EPI
ENSG00000116774.12	0.469526451418104	27.6934842370553	0.00284986619787986	1.77076794785698	3.54322882655647	-1.77246087869949	7.07087695006343	5.83554929966629	4.29945374606549	2.77142320399794	EPI
ENSG00000110492.15	0.574588200006967	27.5844830255848	0.00284986619787986	1.60158910653665	5.64668322665271	-4.04509412011606	6.44256097865574	5.14018531846358	2.2122333786609	4.23032759999485	EPI
ENSG00000165323.15	0.485041337204235	27.2164150621535	0.00301233730838817	2.47651575058238	5.01853245995996	-2.54201670937758	6.96869015653005	4.88470877161057	2.71834040267358	4.25034975385647	EPI
ENSG00000156103.16	0.411641517532273	27.1225246145717	0.00301233730838817	3.26679967065323	5.99192221662417	-2.72512254597094	3.78939459641446	1.8428254796058	0.440979966262896	3.34841463015156	EPI
ENSG00000070182.21	0.693778798797517	27.0038364042064	0.00302281249845323	-2.74835188456446	3.19142392076026	-5.93977580532472	5.67206706293498	8.32905772028268	4.14646531738458	4.1825924028981	META
